Number,Port Code,City,Airport Name,Country,Time Zone
1S,ORK,Cork,Cork Airport,IE,GMT
1T,LHE,Lahore,Allama Iqbal International Airport,PK,PKT
1U,KHI,Karachi,Jinnah International Airport,PK,PKT
1V,KCH,Kuching,Kuching International Airport,MY,MYT
1W,NKG,Nanjing,Nanjing Lukou International Airport,CN,CST
1X,CAN,Guangzhou,Guangzhou Baiyun International Airport,CN,CST
1Y,CPT,Cape Town,Cape Town International Airport,ZA,SAST
1Z,JHB,Johannesburg,O.R. Tambo International Airport,ZA,SAST
20,CVG,Cincinnati,Cincinnati/Northern Kentucky International Airport,US,EST
200,SUB,Surabaya,Juanda International Airport,ID,WIT
201,KHH,Kaohsiung,Kaohsiung International Airport,TW,CST
202,BAH,Manama,Bahrain International Airport,BH,GST
203,LIM,Lima,Jorge Chavez International Airport,PE,PET
204,ABZ,Aberdeen,Aberdeen Airport,GB,GMT
209,DOH,Doha,Hamad International Airport,QA,AST
21,SDF,Louisville,Louisville Muhammad Ali International Airport,US,EST
210,HGH,Hangzhou,Hangzhou Xiaoshan International Airport,CN,CST
211,CKG,Chongqing,Chongqing Jiangbei International Airport,CN,CST
212,AMM,Amman,Queen Alia International Airport,JO,EET
213,GUA,Guatemala City,La Aurora International Airport,GT,CST
214,AUH,Abu Dhabi,Abu Dhabi International Airport,AE,GST
215,SKT,Sialkot,Sialkot International Airport,PK,PKT
217,RDU,Raleigh-Durham,Raleigh-Durham International Airport,US,EST
218,SZV,Suzhou,Sunan Shuofang International Airport,CN,CST
22,IAH,Houston,George Bush Intercontinental Airport,US,CST
220,DMM,Dammam,King Fahd International Airport,SA,AST
221,MCT,Muscat,Muscat International Airport,OM,GST
222,BUH,Bucharest,Henri Coanda International Airport/Aurel Vlaicu International Airport,RO,EET
223,MKE,Milwaukee,General Mitchell International Airport,US,CST
224,HAN,Hanoi,Noi Bai International Airport,VN,ICT
225,WUH,Wuhan,Wuhan Tianhe International Airport,CN,CST
226,OSL,Oslo,Oslo Gardermoen Airport,NO,CET
227,ZIX,Zhigansk,Zhigansk Airport,RU,YAKT
228,CWB,Curitiba,Afonso Pena International Airport,BR,BRT
229,CTU,Chengdu,Chengdu Shuangliu International Airport,CN,CST
23,DFW,Dallas-Fort Worth,Dallas/Fort Worth International Airport,US,CST
231,MVD,Montevideo,Carrasco International Airport,UY,UYT
232,TUL,Tulsa,Tulsa International Airport,US,CST
233,MOW,Moscow,Sheremetyevo International Airport/Domodedovo International Airport,RU,MSK
234,LUX,Luxembourg,Luxembourg Airport,LU,CET
235,SDQ,Santo Domingo,La Isabela International Airport,DO,AST
236,HAJ,Hannover,Hannover Airport,DE,CET
237,PTY,Panama City,Tocumen International Airport,PA,EST
238,HNL,Honolulu,Daniel K. Inouye International Airport,US,HST
239,VNO,Vilnius,Vilnius Airport,LT,EET
24,STL,St. Louis,St. Louis Lambert International Airport,US,CST
248,NH1,Agent Branch,,,
25,CLT,Charlotte,Charlotte Douglas International Airport,US,EST
26,CMH,Columbus,John Glenn Columbus International Airport,US,EST
27,DTT,Detroit,Detroit Metropolitan Wayne County Airport,US,EST
270,QIV,,,,
28,EWR,Newark,Newark Liberty International Airport,US,EST
2B,NLD, Nuevo Laredo,Quetzalcoatl International Airport,MX,CST
2C,BOM,Mumbai,Chhatrapati Shivaji Maharaj International Airport,IN,IST
2D,DXB,Dubai,Dubai International Airport,AE,GST
2E,KWI,Kuwait City,Kuwait International Airport,KW,AST
2G,MAA,Chennai,Chennai International Airport,IN,IST
2H,BLR,Bangalore,Kempegowda International Airport,IN,IST
2I,MNL,Manila,Ninoy Aquino International Airport,PH,PHT
2J,GDL,Guadalajara,Guadalajara International Airport,MX,CST
2K,BJS,Beijing,Beijing Capital International Airport,CN,CST
2L,SAN,San Diego,San Diego International Airport,US,PST
2N,SSZ,Santos/Sao Paulo,Santos Air Base Airport,BR,BRT
2O,ALY,Alexandria,El Nouzha Airport,EG,EET
2Q,ATH,Athens,Athens International Airport,GR,EET
2R,NGB,Ningbo,Ningbo Lishe International Airport,CN,CST
2T,DNG,Huelva,Donana Airport,ES,CET
2U,SIA,Singapore,Changi Airport,SG,SGT
2X,TLV,Tel Aviv,Ben Gurion Airport,IL,IST
2Y,TAO,Qingdao,Qingdao Liuting International Airport,CN,CST
2Z,BEY,Beirut,Beirut-Rafic Hariri International Airport,LB,EET
30,PHL,Philadelphia,Philadelphia International Airport,US,EST
31,CHS,Charleston,Charleston International Airport,US,EST
32,MEM,Memphis,Memphis International Airport,US,CST
33,SAV,Savannah,Savannah/Hilton Head International Airport,US,EST
34,SJU,San Juan,Luis Munoz Marin International Airport,PR,AST
35,YVR,Vancouver,Vancouver International Airport,CA,PST
36,SCL,Santiago,Arturo Merino Benitez International Airport,CL,CLT
37,YYC,Calgary,Calgary International Airport,CA,MST
38,TSN,Tianjin,Tianjin Binhai International Airport,CN,CST
39,SHA,Shanghai,Shanghai Hongqiao International Airport,CN,CST
3A,IZM,Izmir,Izmir Adnan Menderes Airport,TR,EET
3B,DHA,Dhahran,King Fahd International Airport,SA,AST
3C,BUE,Buenos Aires,Ministro Pistarini International Airport,AR,ART
3D,DLC,Dalian,Dalian Zhoushuizi International Airport,CN,CST
3E,XMN,Xiamen,Xiamen Gaoqi International Airport,CN,CST
3F,BFS,Belfast,Belfast International Airport,GB,GMT
3G,MFE,McAllen,McAllen International Airport,US,CST
3H,CPH,Copenhagen,Copenhagen Airport,DK,CET
3I,CAS,Casablanca,Mohammed V International Airport,MA,WET
3J,FLR,Florence,Florence Airport,IT,CET
3K,ANK,Ankara,Esenboga International Airport,TR,EET
3L,QIN,Qingyuan,Quingxin Airport,CN,CST
3M,PRG,Prague,Vaclav Havel Airport Prague,CZ,CET
3N,WAW,Warsaw,Warsaw Chopin Airport,PL,CET
3P,BOG,Bogota,El Dorado International Airport,CO,COT
3R,NOX,,,,
3S,ADA,Adana,Adana Sakirpasa Airport,TR,EET
3T,EMA,East Midlands,East Midlands Airport,GB,GMT
3U,YUL,Montreal,Montreal-Pierre Elliott Trudeau International Airport,CA,EST
3V,PIT,Pittsburgh,Pittsburgh International Airport,US,EST
3W,BUD,Budapest,Budapest Ferenc Liszt International Airport,HU,CET
3X,CJS,Ciudad Juarez,Abraham Gonzalez International Airport,MX,MST
3Y,PNH,Phnom Penh,Phnom Penh International Airport,KH,ICT
3Z,SGN,Ho Chi Minh City,Tan Son Nhat International Airport,VN,ICT
40,MIL,Milan,Milan Malpensa Airport,IT,CET
41,VRN,Verona,Verona Villafranca Airport,IT,CET
42,PUS,Busan,Gimhae International Airport,KR,KST
43,SEL,Seoul,Incheon International Airport,KR,KST
44,MEX,Mexico City,Mexico City International Airport,MX,CST
46,MAD,Madrid,Adolfo Suarez Madrid-Barajas Airport,ES,CET
48,AMS,Amsterdam,Amsterdam Airport Schiphol,NL,CET
49,RTM,Rotterdam,Rotterdam The Hague Airport,NL,CET
4A,HZN,Hengyang,Hengyang Nanyue Airport,CN,CST
4B,MAO,Manaus,Eduardo Gomes International Airport,BR,AMT
4C,IAD,Washington,Washington Dulles International Airport,US,EST
4D,MCI,Kansas City,Kansas City International Airport,US,CST
4F,LUG,Lugano,Lugano Airport,CH,CET
4G,NUE,Nuremberg,Nuremberg Airport,DE,CET
4K,BNA,Nashville,Nashville International Airport,US,CST
4M,BRS,Bristol,Bristol Airport,GB,GMT
4N,AUS,Austin,Austin-Bergstrom International Airport,US,CST
4O,MCO,Orlando,Orlando International Airport,US,EST
4Q,SJO,San Jose,Juan Santamaria International Airport,CR,CST
4R,MSY,New Orleans,Louis Armstrong New Orleans International Airport,US,CST
4S,MTY,Monterrey,General Mariano Escobedo International Airport,MX,CST
4U,POA,Porto Alegre,Salgado Filho International Airport,BR,BRT
4V,SUB,Surabaya,Juanda International Airport,ID,WIT
4W,KHH,Kaohsiung,Kaohsiung International Airport,TW,CST
4X,BAH,Manama,Bahrain International Airport,BH,GST
4Y,LIM,Lima,Jorge Chavez International Airport,PE,PET
4Z,ABZ,Aberdeen,Aberdeen Airport,GB,GMT
51,BER,Berlin,Berlin Brandenburg Airport,DE,CET
52,HAM,Hamburg,Hamburg Airport,DE,CET
53,SLC,Salt Lake City,Salt Lake City International Airport,US,MST
54,DUS,Dusseldorf,Dusseldorf Airport,DE,CET
55,SAO,Sao Paulo,Sao Paulo/Guarulhos-Governador Andre Franco Montoro International Airport,BR,BRT
56,FRA, Frankfurt,Frankfurt Airport,DE,CET
57,STR,Stuttgart,Stuttgart Airport,DE,CET
58,MUC,Munich,Munich Airport,DE,CET
59,RIO,Rio de Janeiro,Rio de Janeiro/Galeao-Antonio Carlos Jobim International Airport,BR,BRT
5E,DOH,Doha,Hamad International Airport,QA,AST
5F,HGH,Hangzhou,Hangzhou Xiaoshan International Airport,CN,CST
5G,CKG,Chongqing,Chongqing Jiangbei International Airport,CN,CST
5H,AMM,Amman,Queen Alia International Airport,JO,EET
5I,GUA,Guatemala City,La Aurora International Airport,GT,CST
5J,AUH,Abu Dhabi,Abu Dhabi International Airport,AE,GST
5K,SKT,Sialkot,Sialkot International Airport,PK,PKT
5M,RDU,Raleigh-Durham,Raleigh-Durham International Airport,US,EST
5N,SZV,Suzhou,Sunan Shuofang International Airport,CN,CST
5P,DMM,Dammam,King Fahd International Airport,SA,AST
5Q,MCT,Muscat,Muscat International Airport,OM,GST
5R,BUH,Bucharest,Henri Coanda International Airport/Aurel Vlaicu International Airport,RO,EET
5S,MKE,Milwaukee,General Mitchell International Airport,US,CST
5T,HAN,Hanoi,Noi Bai International Airport,VN,ICT
5U,WUH,Wuhan,Wuhan Tianhe International Airport,CN,CST
5V,OSL,Oslo,Oslo Gardermoen Airport,NO,CET
5W,ZIX,Zhigansk,Zhigansk Airport,RU,YAKT
5X,CWB,Curitiba,Afonso Pena International Airport,BR,BRT
5Y,CTU,Chengdu,Chengdu Shuangliu International Airport,CN,CST
60,BRU,Brussels,Brussels Airport,BE,CET
61,ANR,Antwerp,Antwerp International Airport,BE,CET
62,DEL,Delhi,Indira Gandhi International Airport,IN,IST
63,AMD,Ahmedabad,Sardar Vallabhbhai Patel International Airport,IN,IST
64,IST,Istanbul,Istanbul Airport,TR,TRT
65,HYD,Hyderabad,Rajiv Gandhi International Airport,IN,IST
66,JED,Jeddah,King Abdulaziz International Airport,SA,AST
67,RUH,Riyadh,King Khalid International Airport,SA,AST
68,LIS,Lisbon,Humberto Delgado Airport,PT,WET
6A,MVD,Montevideo,Carrasco International Airport,UY,UYT
6B,TUL,Tulsa,Tulsa International Airport,US,CST
6C,MOW,Moscow,Sheremetyevo International Airport/Domodedovo International Airport,RU,MSK
6D,LUX,Luxembourg,Luxembourg Airport,LU,CET
6E,SDQ,Santo Domingo,La Isabela International Airport,DO,AST
6F,HAJ,Hannover,Hannover Airport,DE,CET
6G,PTY,Panama City,Tocumen International Airport,PA,EST
6I,VNO,Vilnius,Vilnius Airport,LT,EET
6R,NH1,Agent Branch,,,
70,CAI,Cairo,Cairo International Airport,EG,EET
71,SIN,Singapore,Singapore Changi Airport,SG,SGT
72,PEN,Penang,Penang International Airport,MY,MYT
